d,Tweet Count
11/23/2022,5665
11/24/2022,4852
11/25/2022,4282
11/26/2022,3856
11/27/2022,3898
11/28/2022,5089
11/29/2022,6413
11/30/2022,7249
12/1/2022,5941
12/2/2022,5273
12/3/2022,5135
12/4/2022,4690
12/5/2022,6094
